URL_ID,URL,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,Avg_Sentence_Length,Percentage_of_Complex_Words,FOG_Index,Avg_Number_of_Words_per_Sentence,Complex_Word_Count,Word_Count,Syllable_per_Word,Personal_Pronouns,Avg_Word_Length
37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.1363665298496759,0.8636334701503241,0.1363665298496759,0.4579080625990739,23.6,27.36,20.38,23.6,536,1959,1.78,36,5.54
38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.07789015151515154,0.9221098484848484,0.07789015151515154,0.4276844016198854,19.33,18.3,15.05,19.33,290,1585,1.55,75,4.82
39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.11330215590149365,0.8866978440985064,0.11330215590149365,0.481079455864224,21.0,23.49,17.8,21.0,439,1869,1.75,44,5.37
40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.14551022248726328,0.8544897775127367,0.14551022248726328,0.4943279552080571,18.61,18.1,14.68,18.61,320,1768,1.56,66,4.84
41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.05782091496074551,0.9421790850392545,0.05782091496074551,0.5033293401513742,21.32,21.8,17.25,21.32,409,1876,1.63,73,5.02
42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.11983712437659805,0.8801628756234019,0.11983712437659805,0.45106747297536776,23.11,21.21,17.73,23.11,299,1410,1.61,83,4.99
43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.1464923782357993,0.8535076217642007,0.1464923782357993,0.4145044648334122,17.88,21.82,15.88,17.88,199,912,1.65,30,5.08
45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.1848381951381952,0.8151618048618048,0.1848381951381952,0.5454688311688312,21.56,19.68,16.5,21.56,174,884,1.56,48,4.85
46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.16706658863311225,0.8329334113668878,0.16706658863311225,0.5246606159696288,26.2,19.21,18.16,26.2,448,2332,1.61,90,4.87
47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.12101336818317952,0.8789866318168205,0.12101336818317952,0.4618776750852222,20.01,17.96,15.19,20.01,363,2021,1.63,155,5.03
48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.11694548872180453,0.8830545112781955,0.11694548872180453,0.4142765056580845,21.87,22.35,17.69,21.87,303,1356,1.72,49,5.39
49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.10749107947321695,0.8925089205267831,0.10749107947321695,0.3757063001723196,15.99,20.92,14.76,15.99,291,1391,1.63,33,5.0
50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0.1591990661330284,0.8408009338669716,0.1591990661330284,0.38804663889569535,26.9,17.39,17.72,26.9,318,1829,1.57,95,4.8
51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0.06321613077338269,0.9367838692266173,0.06321613077338269,0.4607353524338258,19.7,21.82,16.61,19.7,374,1714,1.66,55,5.06
52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0.16766145419206646,0.8323385458079335,0.16766145419206646,0.5002774096651648,26.35,25.55,20.76,26.35,175,685,1.73,19,5.39
53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0.13228163329725826,0.8677183667027417,0.13228163329725826,0.49741240530303016,152.54,18.2,68.3,152.54,361,1983,1.54,81,4.75
54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0.21257136583223538,0.7874286341677647,0.21257136583223538,0.4116020452976975,18.24,21.94,16.07,18.24,204,930,1.66,40,5.14
55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0.09194041252864783,0.9080595874713522,0.09194041252864783,0.3432502546473135,19.71,24.69,17.76,19.71,219,887,1.76,17,5.4
56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.11698568098568099,0.883014319014319,0.11698568098568099,0.3554052614052614,32.27,29.3,24.63,32.27,104,355,1.75,10,5.39
58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,0.04829313876088068,0.9517068612391193,0.04829313876088068,0.39310303674819796,25.43,22.18,19.04,25.43,344,1551,1.62,33,5.09
59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,0.15246619818537624,0.8475338018146238,0.15246619818537624,0.4025692344185496,25.69,23.47,19.66,25.69,211,899,1.61,25,5.06
60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,0.19409380050843475,0.8059061994915653,0.19409380050843475,0.4698461863339915,18.35,13.99,12.94,18.35,290,2073,1.58,69,4.84
